match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_type,gender,event_name,event_match_number,overs_per_side
335982,2007/08,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,0,BB McCullum,T20,male,Indian Premier League,1,20
335983,2007/08,2008-04-19,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,Chennai Super Kings,33,0,MEK Hussey,T20,male,Indian Premier League,2,20
335984,2007/08,2008-04-19,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Daredevils,0,9,MF Maharoof,T20,male,Indian Premier League,3,20
335986,2007/08,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,0,5,DJ Hussey,T20,male,Indian Premier League,4,20
335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bangalore,0,5,MV Boucher,T20,male,Indian Premier League,5,20
335987,2007/08,2008-04-21,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,Rajasthan Royals,0,6,SR Watson,T20,male,Indian Premier League,6,20
335988,2007/08,2008-04-22,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Delhi Daredevils,0,9,V Sehwag,T20,male,Indian Premier League,7,20
335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Chennai Super Kings,6,0,ML Hayden,T20,male,Indian Premier League,8,20
335990,2007/08,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,3,YK Pathan,T20,male,Indian Premier League,9,20
335991,2007/08,2008-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Kings XI Punjab,66,0,KC Sangakkara,T20,male,Indian Premier League,10,20
335993,2007/08,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,JDP Oram,T20,male,Indian Premier League,11,20
335992,2007/08,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,0,7,SR Watson,T20,male,Indian Premier League,12,20
335994,2007/08,2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,0,10,AC Gilchrist,T20,male,Indian Premier League,14,20
335995,2007/08,2008-04-27,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,Kings XI Punjab,0,4,SM Katich,T20,male,Indian Premier League,13,20
335996,2007/08,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Chennai Super Kings,13,0,MS Dhoni,T20,male,Indian Premier League,15,20
335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians,0,7,ST Jayasuriya,T20,male,Indian Premier League,16,20
335998,2007/08,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Delhi Daredevils,10,0,GD McGrath,T20,male,Indian Premier League,17,20
335999,2007/08,2008-05-01,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Kings XI Punjab,0,7,SE Marsh,T20,male,Indian Premier League,19,20
336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals,45,0,SA Asnodkar,T20,male,Indian Premier League,18,20
336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Delhi Daredevils,0,8,V Sehwag,T20,male,Indian Premier League,20,20
336034,2007/08,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,Deccan Chargers,field,Royal Challengers Bangalore,3,0,P Kumar,T20,male,Indian Premier League,21,20
336003,2007/08,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Kings XI Punjab,9,0,IK Pathan,T20,male,Indian Premier League,22,20
336004,2007/08,2008-05-04,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai,Delhi Daredevils,field,Mumbai Indians,29,0,SM Pollock,T20,male,Indian Premier League,23,20
336005,2007/08,2008-05-04,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Rajasthan Royals,0,8,Sohail Tanvir,T20,male,Indian Premier League,24,20
336006,2007/08,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Kings XI Punjab,0,6,S Sreesanth,T20,male,Indian Premier League,25,20
336007,2007/08,2008-05-06,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,field,Deccan Chargers,0,7,AC Gilchrist,T20,male,Indian Premier League,26,20
336008,2007/08,2008-05-07,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Mumbai Indians,0,7,A Nehra,T20,male,Indian Premier League,27,20
336010,2007/08,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,SC Ganguly,T20,male,Indian Premier League,29,20
